               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.028472,           0.0090464,                   0,             0.93732,             0.76042,             0.83002,             0.39285,            0.044915,           0.0058174,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.028403,           0.0093012,                   0,             0.86355,             0.75093,             0.84939,             0.39255,            0.044564,           0.0058214,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.028413,           0.0088376,                   0,             0.93208,             0.69787,             0.79835,             0.36411,            0.046476,           0.0058551,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.028406,           0.0089191,                   0,             0.91454,             0.72555,             0.81868,             0.38483,            0.044677,            0.005767,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.027576,           0.0089499,                   0,              0.8845,             0.72881,              0.8452,              0.3908,            0.044791,           0.0056641,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.028174,           0.0084799,                   0,             0.93602,             0.74392,             0.83023,              0.3824,            0.045805,           0.0057092,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.028397,           0.0085133,                   0,             0.93363,             0.67797,             0.79792,             0.38329,            0.045776,           0.0058548,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.028096,           0.0083966,                   0,             0.89543,             0.72574,              0.8138,             0.38787,            0.045776,           0.0058174,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.027807,           0.0086567,                   0,             0.93296,             0.70767,             0.83307,             0.40011,            0.044977,           0.0059087,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.02826,           0.0086241,                   0,             0.95454,             0.71176,             0.83056,             0.38475,            0.045568,           0.0058461,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.027799,            0.008225,                   0,             0.93088,             0.68487,             0.79916,             0.38467,            0.045784,           0.0058583,                   0,            0.000298,            0.000298,            0.000298
